Scanning 192.168.11.6:9520 commands 01:00..01:FF
01:69 -> frames=1 firstStatus=0x9005 firstBytes=22
01:6A -> frames=1 firstStatus=0x9005 firstBytes=22
01:6B -> frames=1 firstStatus=0x9005 firstBytes=22
01:6C -> frames=1 firstStatus=0x9005 firstBytes=22
01:6D -> frames=1 firstStatus=0x9005 firstBytes=22
01:6E -> frames=1 firstStatus=0x9005 firstBytes=22
01:6F -> frames=1 firstStatus=0x9005 firstBytes=22
01:70 -> frames=1 firstStatus=0x9005 firstBytes=22
01:71 -> frames=1 firstStatus=0x9005 firstBytes=22
01:72 -> frames=1 firstStatus=0x9005 firstBytes=22
01:73 -> frames=1 firstStatus=0x9005 firstBytes=22
01:74 -> frames=1 firstStatus=0x9005 firstBytes=22
01:75 -> frames=1 firstStatus=0x9005 firstBytes=22
01:76 -> frames=1 firstStatus=0x9005 firstBytes=22
01:77 -> frames=1 firstStatus=0x9005 firstBytes=22
01:78 -> frames=1 firstStatus=0x9005 firstBytes=22
01:79 -> frames=1 firstStatus=0x9005 firstBytes=22
01:7A -> frames=1 firstStatus=0x9005 firstBytes=22
01:7B -> frames=1 firstStatus=0x9005 firstBytes=22
01:7C -> frames=1 firstStatus=0x9005 firstBytes=22
01:7D -> frames=1 firstStatus=0x9005 firstBytes=22
01:7E -> frames=1 firstStatus=0x9005 firstBytes=22
01:7F -> frames=1 firstStatus=0x9005 firstBytes=22
01:80 -> frames=1 firstStatus=0x9005 firstBytes=22
01:81 -> frames=1 firstStatus=0x9005 firstBytes=22
01:82 -> frames=1 firstStatus=0x9005 firstBytes=22
01:83 -> frames=1 firstStatus=0x9005 firstBytes=22
01:84 -> frames=1 firstStatus=0x9005 firstBytes=22
01:85 -> frames=1 firstStatus=0x9005 firstBytes=22
01:86 -> frames=1 firstStatus=0x9005 firstBytes=22
01:87 -> frames=1 firstStatus=0x9005 firstBytes=22
01:88 -> frames=1 firstStatus=0x9005 firstBytes=22
01:89 -> frames=1 firstStatus=0x9005 firstBytes=22
01:8A -> frames=1 firstStatus=0x9005 firstBytes=22
01:8B -> frames=1 firstStatus=0x9005 firstBytes=22
01:8C -> frames=1 firstStatus=0x9005 firstBytes=22
01:8D -> frames=1 firstStatus=0x9005 firstBytes=22
01:8E -> frames=1 firstStatus=0x9005 firstBytes=22
01:8F -> frames=1 firstStatus=0x9005 firstBytes=22
01:90 -> frames=1 firstStatus=0x9005 firstBytes=22
01:91 -> frames=1 firstStatus=0x9005 firstBytes=22
01:92 -> frames=1 firstStatus=0x9005 firstBytes=22
01:93 -> frames=1 firstStatus=0x9005 firstBytes=22
01:94 -> frames=1 firstStatus=0x9005 firstBytes=22
01:95 -> frames=1 firstStatus=0x9005 firstBytes=22
01:96 -> frames=1 firstStatus=0x9005 firstBytes=22
01:97 -> frames=1 firstStatus=0x9005 firstBytes=22
01:98 -> frames=1 firstStatus=0x9005 firstBytes=22
01:99 -> frames=1 firstStatus=0x9005 firstBytes=22
01:9A -> frames=1 firstStatus=0x9005 firstBytes=22
01:9B -> frames=1 firstStatus=0x9005 firstBytes=22
01:9C -> frames=1 firstStatus=0x9005 firstBytes=22
01:9D -> frames=1 firstStatus=0x9005 firstBytes=22
01:9E -> frames=1 firstStatus=0x9005 firstBytes=22
01:9F -> frames=1 firstStatus=0x9005 firstBytes=22
01:A0 -> frames=1 firstStatus=0x9005 firstBytes=22
01:A1 -> frames=1 firstStatus=0x9005 firstBytes=22
01:A2 -> frames=1 firstStatus=0x9005 firstBytes=22
01:A3 -> frames=1 firstStatus=0x9005 firstBytes=22
01:A4 -> frames=1 firstStatus=0x9005 firstBytes=22
01:A5 -> frames=1 firstStatus=0x9005 firstBytes=22
01:A6 -> frames=1 firstStatus=0x9005 firstBytes=22
01:A7 -> frames=1 firstStatus=0x9005 firstBytes=22
01:A8 -> frames=1 firstStatus=0x9005 firstBytes=22
01:A9 -> frames=1 firstStatus=0x9005 firstBytes=22
01:AA -> frames=1 firstStatus=0x9005 firstBytes=22
01:AB -> frames=1 firstStatus=0x9005 firstBytes=22
01:AC -> frames=1 firstStatus=0x9005 firstBytes=22
01:AD -> frames=1 firstStatus=0x9005 firstBytes=22
01:AE -> frames=1 firstStatus=0x9005 firstBytes=22
01:AF -> frames=1 firstStatus=0x9005 firstBytes=22
01:B0 -> frames=1 firstStatus=0x9005 firstBytes=22
01:B1 -> frames=1 firstStatus=0x9005 firstBytes=22
01:B2 -> frames=1 firstStatus=0x9005 firstBytes=22
01:B3 -> frames=1 firstStatus=0x9005 firstBytes=22
01:B4 -> frames=1 firstStatus=0x9005 firstBytes=22
01:B5 -> frames=1 firstStatus=0x9005 firstBytes=22
01:B6 -> frames=1 firstStatus=0x9005 firstBytes=22
01:B7 -> frames=1 firstStatus=0x9005 firstBytes=22
01:B8 -> frames=1 firstStatus=0x9005 firstBytes=22
01:B9 -> frames=1 firstStatus=0x9005 firstBytes=22
01:BA -> frames=1 firstStatus=0x9005 firstBytes=22
01:BB -> frames=1 firstStatus=0x9005 firstBytes=22
01:BC -> frames=1 firstStatus=0x9005 firstBytes=22
01:BD -> frames=1 firstStatus=0x9005 firstBytes=22
01:BE -> frames=1 firstStatus=0x9005 firstBytes=22
01:BF -> frames=1 firstStatus=0x9005 firstBytes=22
01:C0 -> frames=1 firstStatus=0x9005 firstBytes=22
01:C1 -> frames=1 firstStatus=0x9005 firstBytes=22
01:C2 -> frames=1 firstStatus=0x9005 firstBytes=22
01:C3 -> frames=1 firstStatus=0x9005 firstBytes=22
01:C4 -> frames=1 firstStatus=0x9005 firstBytes=22
01:C5 -> frames=1 firstStatus=0x9005 firstBytes=22
01:C6 -> frames=1 firstStatus=0x9005 firstBytes=22
01:C7 -> frames=1 firstStatus=0x9005 firstBytes=22
01:C8 -> frames=1 firstStatus=0x9005 firstBytes=22
01:C9 -> frames=1 firstStatus=0x9005 firstBytes=22
01:CA -> frames=1 firstStatus=0x9005 firstBytes=22
01:CB -> frames=1 firstStatus=0x9005 firstBytes=22
01:CC -> frames=1 firstStatus=0x9005 firstBytes=22
01:CD -> frames=1 firstStatus=0x9005 firstBytes=22
01:CE -> frames=1 firstStatus=0x9005 firstBytes=22
01:CF -> frames=1 firstStatus=0x9005 firstBytes=22
01:D0 -> frames=1 firstStatus=0x9005 firstBytes=22
01:D1 -> frames=1 firstStatus=0x9005 firstBytes=22
01:D2 -> frames=1 firstStatus=0x9005 firstBytes=22
01:D3 -> frames=1 firstStatus=0x9005 firstBytes=22
01:D4 -> frames=1 firstStatus=0x9005 firstBytes=22
01:D5 -> frames=1 firstStatus=0x9005 firstBytes=22
01:D6 -> frames=1 firstStatus=0x9005 firstBytes=22
01:D7 -> frames=1 firstStatus=0x9005 firstBytes=22
01:D8 -> frames=1 firstStatus=0x9005 firstBytes=22
01:D9 -> frames=1 firstStatus=0x9005 firstBytes=22
01:DA -> frames=1 firstStatus=0x9005 firstBytes=22
01:DB -> frames=1 firstStatus=0x9005 firstBytes=22
01:DC -> frames=1 firstStatus=0x9005 firstBytes=22
01:DD -> frames=1 firstStatus=0x9005 firstBytes=22
01:DE -> frames=1 firstStatus=0x9005 firstBytes=22
01:DF -> frames=1 firstStatus=0x9005 firstBytes=22
01:E0 -> frames=1 firstStatus=0x9005 firstBytes=22
01:E1 -> frames=1 firstStatus=0x9005 firstBytes=22
01:E2 -> frames=1 firstStatus=0x9005 firstBytes=22
01:E3 -> frames=1 firstStatus=0x9005 firstBytes=22
01:E4 -> frames=1 firstStatus=0x9005 firstBytes=22
01:E5 -> frames=1 firstStatus=0x9005 firstBytes=22
01:E6 -> frames=1 firstStatus=0x9005 firstBytes=22
01:E7 -> frames=1 firstStatus=0x9005 firstBytes=22
01:E8 -> frames=1 firstStatus=0x9005 firstBytes=22
01:E9 -> frames=1 firstStatus=0x9005 firstBytes=22
01:EA -> frames=1 firstStatus=0x9005 firstBytes=22
01:EB -> frames=1 firstStatus=0x9005 firstBytes=22
01:EC -> frames=1 firstStatus=0x9005 firstBytes=22
01:ED -> frames=1 firstStatus=0x9005 firstBytes=22
01:EE -> frames=1 firstStatus=0x9005 firstBytes=22
01:EF -> frames=1 firstStatus=0x9005 firstBytes=22
01:F0 -> frames=1 firstStatus=0x9005 firstBytes=22
01:F1 -> frames=1 firstStatus=0x9005 firstBytes=22
01:F2 -> frames=1 firstStatus=0x9005 firstBytes=22
01:F3 -> frames=1 firstStatus=0x9005 firstBytes=22
01:F4 -> frames=1 firstStatus=0x9005 firstBytes=22
01:F5 -> frames=1 firstStatus=0x9005 firstBytes=22
01:F6 -> frames=1 firstStatus=0x9005 firstBytes=22
01:F7 -> frames=1 firstStatus=0x9005 firstBytes=22
01:F8 -> frames=1 firstStatus=0x9005 firstBytes=22
01:F9 -> frames=1 firstStatus=0x9005 firstBytes=22
01:FA -> frames=1 firstStatus=0x9005 firstBytes=22
01:FB -> frames=1 firstStatus=0x9005 firstBytes=22
01:FC -> frames=1 firstStatus=0x9005 firstBytes=22
01:FD -> frames=1 firstStatus=0x9005 firstBytes=22
01:FE -> frames=1 firstStatus=0x9005 firstBytes=22
01:FF -> frames=1 firstStatus=0x9005 firstBytes=22
