nth vaddr      bind type lib          name
36  0x00664354 NONE FUNC kernel32.dll LoadLibraryA
37  0x006641a8 NONE FUNC kernel32.dll LeaveCriticalSection
38  0x006641b0 NONE FUNC kernel32.dll InitializeCriticalSection
39  0x00664360 NONE FUNC kernel32.dll GlobalUnlock
40  0x00664364 NONE FUNC kernel32.dll GlobalReAlloc
41  0x00664368 NONE FUNC kernel32.dll GlobalHandle
42  0x0066436c NONE FUNC kernel32.dll GlobalLock
43  0x00664370 NONE FUNC kernel32.dll GlobalFree
44  0x00664374 NONE FUNC kernel32.dll GlobalFindAtomA
45  0x00664378 NONE FUNC kernel32.dll GlobalDeleteAtom
46  0x0066437c NONE FUNC kernel32.dll GlobalAlloc
47  0x00664380 NONE FUNC kernel32.dll GlobalAddAtomA
48  0x00664384 NONE FUNC kernel32.dll GetWindowsDirectoryA
49  0x00664388 NONE FUNC kernel32.dll GetVersionExA
50  0x006641cc NONE FUNC kernel32.dll GetVersion
51  0x00664390 NONE FUNC kernel32.dll GetTimeZoneInformation
52  0x006641c4 NONE FUNC kernel32.dll GetTickCount
53  0x006641f4 NONE FUNC kernel32.dll GetThreadLocale
54  0x0066439c NONE FUNC kernel32.dll GetTempPathA
55  0x006643a0 NONE FUNC kernel32.dll GetTempFileNameA
56  0x006643a4 NONE FUNC kernel32.dll GetSystemInfo
57  0x006643a8 NONE FUNC kernel32.dll GetSystemDefaultLangID
58  0x006643ac NONE FUNC kernel32.dll GetStringTypeExA
59  0x00664248 NONE FUNC kernel32.dll GetStdHandle
60  0x006643b4 NONE FUNC kernel32.dll GetShortPathNameA
61  0x006643b8 NONE FUNC kernel32.dll GetProfileStringA
62  0x006641fc NONE FUNC kernel32.dll GetProcAddress
63  0x006643c0 NONE FUNC kernel32.dll GetPrivateProfileStringA
64  0x00664200 NONE FUNC kernel32.dll GetModuleHandleA
65  0x00664204 NONE FUNC kernel32.dll GetModuleFileNameA
66  0x00664208 NONE FUNC kernel32.dll GetLocaleInfoA
67  0x006643d0 NONE FUNC kernel32.dll GetLocalTime
68  0x0066420c NONE FUNC kernel32.dll GetLastError
69  0x006643d8 NONE FUNC kernel32.dll GetFullPathNameW
70  0x006643dc NONE FUNC kernel32.dll GetFullPathNameA
71  0x0066424c NONE FUNC kernel32.dll GetFileSize
72  0x006643e4 NONE FUNC kernel32.dll GetFileAttributesA
73  0x006643e8 NONE FUNC kernel32.dll GetExitCodeThread
74  0x006643ec NONE FUNC kernel32.dll GetDiskFreeSpaceA
75  0x006643f0 NONE FUNC kernel32.dll GetDateFormatA
76  0x006641d0 NONE FUNC kernel32.dll GetCurrentThreadId
77  0x006643f8 NONE FUNC kernel32.dll GetCurrentProcessId
78  0x006643fc NONE FUNC kernel32.dll GetComputerNameA
79  0x00664400 NONE FUNC kernel32.dll GetCommTimeouts
80  0x00664404 NONE FUNC kernel32.dll GetCommState
81  0x00664408 NONE FUNC kernel32.dll GetCPInfo
82  0x0066440c NONE FUNC kernel32.dll GetACP
83  0x00664410 NONE FUNC kernel32.dll FreeResource
84  0x006641d8 NONE FUNC kernel32.dll InterlockedIncrement
85  0x00664418 NONE FUNC kernel32.dll InterlockedExchange
86  0x006641d4 NONE FUNC kernel32.dll InterlockedDecrement
87  0x00664214 NONE FUNC kernel32.dll FreeLibrary
88  0x00664424 NONE FUNC kernel32.dll FormatMessageW
89  0x00664428 NONE FUNC kernel32.dll FormatMessageA
90  0x0066442c NONE FUNC kernel32.dll FindResourceA
91  0x00664430 NONE FUNC kernel32.dll FindNextFileA
92  0x00664434 NONE FUNC kernel32.dll FindFirstFileW
93  0x00664218 NONE FUNC kernel32.dll FindFirstFileA
94  0x0066421c NONE FUNC kernel32.dll FindClose
95  0x00664440 NONE FUNC kernel32.dll FileTimeToLocalFileTime
96  0x00664444 NONE FUNC kernel32.dll FileTimeToDosDateTime
97  0x00664448 NONE FUNC kernel32.dll EnumCalendarInfoA
98  0x006641ac NONE FUNC kernel32.dll EnterCriticalSection
99  0x00664450 NONE FUNC kernel32.dll DeleteFileA
100 0x006641a4 NONE FUNC kernel32.dll DeleteCriticalSection
101 0x00664228 NONE FUNC kernel32.dll CreateThread
102 0x0066445c NONE FUNC kernel32.dll CreateMutexA
103 0x00664460 NONE FUNC kernel32.dll CreateFileW
104 0x00664254 NONE FUNC kernel32.dll CreateFileA
105 0x00664468 NONE FUNC kernel32.dll CreateEventA
106 0x0066446c NONE FUNC kernel32.dll CreateDirectoryA
107 0x00664470 NONE FUNC kernel32.dll CopyFileA
108 0x00664474 NONE FUNC kernel32.dll CompareStringW
109 0x00664478 NONE FUNC kernel32.dll CompareStringA
110 0x00664258 NONE FUNC kernel32.dll CloseHandle
111 0x00664480 NONE FUNC kernel32.dll ClearCommError
1   0x00664488 NONE FUNC version.dll  VerQueryValueA
2   0x0066448c NONE FUNC version.dll  GetFileVersionInfoSizeA
3   0x00664490 NONE FUNC version.dll  GetFileVersionInfoA
1   0x00664498 NONE FUNC gdi32.dll    UnrealizeObject
2   0x0066449c NONE FUNC gdi32.dll    StretchBlt
3   0x006644a0 NONE FUNC gdi32.dll    StartPage
4   0x006644a4 NONE FUNC gdi32.dll    StartDocA
5   0x006644a8 NONE FUNC gdi32.dll    SetWindowOrgEx
6   0x006644ac NONE FUNC gdi32.dll    SetWindowExtEx
7   0x006644b0 NONE FUNC gdi32.dll    SetWinMetaFileBits
8   0x006644b4 NONE FUNC gdi32.dll    SetViewportOrgEx
9   0x006644b8 NONE FUNC gdi32.dll    SetViewportExtEx
10  0x006644bc NONE FUNC gdi32.dll    SetTextColor
11  0x006644c0 NONE FUNC gdi32.dll    SetStretchBltMode
12  0x006644c4 NONE FUNC gdi32.dll    SetROP2
13  0x006644c8 NONE FUNC gdi32.dll    SetPixel
14  0x006644cc NONE FUNC gdi32.dll    SetMapMode
15  0x006644d0 NONE FUNC gdi32.dll    SetEnhMetaFileBits
16  0x006644d4 NONE FUNC gdi32.dll    SetDIBColorTable
17  0x006644d8 NONE FUNC gdi32.dll    SetBrushOrgEx
18  0x006644dc NONE FUNC gdi32.dll    SetBkMode
19  0x006644e0 NONE FUNC gdi32.dll    SetBkColor
20  0x006644e4 NONE FUNC gdi32.dll    SetAbortProc
21  0x006644e8 NONE FUNC gdi32.dll    SelectPalette
22  0x006644ec NONE FUNC gdi32.dll    SelectObject
23  0x006644f0 NONE FUNC gdi32.dll    SelectClipRgn
24  0x006644f4 NONE FUNC gdi32.dll    SaveDC
25  0x006644f8 NONE FUNC gdi32.dll    RoundRect
26  0x006644fc NONE FUNC gdi32.dll    RestoreDC
27  0x00664500 NONE FUNC gdi32.dll    Rectangle
28  0x00664504 NONE FUNC gdi32.dll    RectVisible
29  0x00664508 NONE FUNC gdi32.dll    RealizePalette
30  0x0066450c NONE FUNC gdi32.dll    Polyline
31  0x00664510 NONE FUNC gdi32.dll    PolyPolyline
32  0x00664514 NONE FUNC gdi32.dll    PlayEnhMetaFile
33  0x00664518 NONE FUNC gdi32.dll    Pie
34  0x0066451c NONE FUNC gdi32.dll    PatBlt
35  0x00664520 NONE FUNC gdi32.dll    MoveToEx
36  0x00664524 NONE FUNC gdi32.dll    MaskBlt
37  0x00664528 NONE FUNC gdi32.dll    LineTo
38  0x0066452c NONE FUNC gdi32.dll    IntersectClipRect
39  0x00664530 NONE FUNC gdi32.dll    GetWindowOrgEx
40  0x00664534 NONE FUNC gdi32.dll    GetWinMetaFileBits
41  0x00664538 NONE FUNC gdi32.dll    GetTextMetricsA
42  0x0066453c NONE FUNC gdi32.dll    GetTextExtentPointA
43  0x00664540 NONE FUNC gdi32.dll    GetTextExtentPoint32W
44  0x00664544 NONE FUNC gdi32.dll    GetTextExtentPoint32A
45  0x00664548 NONE FUNC gdi32.dll    GetSystemPaletteEntries
46  0x0066454c NONE FUNC gdi32.dll    GetStockObject
47  0x00664550 NONE FUNC gdi32.dll    GetRgnBox
48  0x00664554 NONE FUNC gdi32.dll    GetPixel
49  0x00664558 NONE FUNC gdi32.dll    GetPaletteEntries
50  0x0066455c NONE FUNC gdi32.dll    GetObjectA
51  0x00664560 NONE FUNC gdi32.dll    GetEnhMetaFilePaletteEntries
52  0x00664564 NONE FUNC gdi32.dll    GetEnhMetaFileHeader
53  0x00664568 NONE FUNC gdi32.dll    GetEnhMetaFileBits
54  0x0066456c NONE FUNC gdi32.dll    GetDeviceCaps
55  0x00664570 NONE FUNC gdi32.dll    GetDIBits
56  0x00664574 NONE FUNC gdi32.dll    GetDIBColorTable
57  0x00664578 NONE FUNC gdi32.dll    GetDCOrgEx
58  0x0066457c NONE FUNC gdi32.dll    GetCurrentPositionEx
59  0x00664580 NONE FUNC gdi32.dll    GetClipBox
60  0x00664584 NONE FUNC gdi32.dll    GetBrushOrgEx
61  0x00664588 NONE FUNC gdi32.dll    GetBitmapBits
62  0x0066458c NONE FUNC gdi32.dll    GdiFlush
63  0x00664590 NONE FUNC gdi32.dll    ExtTextOutW
64  0x00664594 NONE FUNC gdi32.dll    ExtTextOutA
65  0x00664598 NONE FUNC gdi32.dll    ExtCreatePen
66  0x0066459c NONE FUNC gdi32.dll    ExcludeClipRect
67  0x006645a0 NONE FUNC gdi32.dll    EndPage
68  0x006645a4 NONE FUNC gdi32.dll    EndDoc
69  0x006645a8 NONE FUNC gdi32.dll    Ellipse
70  0x006645ac NONE FUNC gdi32.dll    DeleteObject
71  0x006645b0 NONE FUNC gdi32.dll    DeleteEnhMetaFile
72  0x006645b4 NONE FUNC gdi32.dll    DeleteDC
73  0x006645b8 NONE FUNC gdi32.dll    CreateSolidBrush
74  0x006645bc NONE FUNC gdi32.dll    CreateRectRgnIndirect
75  0x006645c0 NONE FUNC gdi32.dll    CreateRectRgn
76  0x006645c4 NONE FUNC gdi32.dll    CreatePenIndirect
77  0x006645c8 NONE FUNC gdi32.dll    CreatePalette
78  0x006645cc NONE FUNC gdi32.dll    CreateICA
79  0x006645d0 NONE FUNC gdi32.dll    CreateHalftonePalette
80  0x006645d4 NONE FUNC gdi32.dll    CreateFontIndirectA
81  0x006645d8 NONE FUNC gdi32.dll    CreateDIBitmap
82  0x006645dc NONE FUNC gdi32.dll    CreateDIBSection
83  0x006645e0 NONE FUNC gdi32.dll    CreateDCA
84  0x006645e4 NONE FUNC gdi32.dll    CreateCompatibleDC
85  0x006645e8 NONE FUNC gdi32.dll    CreateCompatibleBitmap
86  0x006645ec NONE FUNC gdi32.dll    CreateBrushIndirect
87  0x006645f0 NONE FUNC gdi32.dll    CreateBitmap
88  0x006645f4 NONE FUNC gdi32.dll    CopyEnhMetaFileA
89  0x006645f8 NONE FUNC gdi32.dll    CombineRgn
