nth vaddr      bind type lib          name
182 0x006648d8 NONE FUNC user32.dll   DispatchMessageA
183 0x006648dc NONE FUNC user32.dll   DestroyWindow
184 0x006648e0 NONE FUNC user32.dll   DestroyMenu
185 0x006648e4 NONE FUNC user32.dll   DestroyIcon
186 0x006648e8 NONE FUNC user32.dll   DestroyCursor
187 0x006648ec NONE FUNC user32.dll   DeleteMenu
188 0x006648f0 NONE FUNC user32.dll   DeferWindowPos
189 0x006648f4 NONE FUNC user32.dll   DefWindowProcW
190 0x006648f8 NONE FUNC user32.dll   DefWindowProcA
191 0x006648fc NONE FUNC user32.dll   DefMDIChildProcA
192 0x00664900 NONE FUNC user32.dll   DefFrameProcA
193 0x00664904 NONE FUNC user32.dll   CreatePopupMenu
194 0x00664908 NONE FUNC user32.dll   CreateMenu
195 0x0066490c NONE FUNC user32.dll   CreateIcon
196 0x00664910 NONE FUNC user32.dll   CloseClipboard
197 0x00664914 NONE FUNC user32.dll   ClientToScreen
198 0x00664918 NONE FUNC user32.dll   ChildWindowFromPoint
199 0x0066491c NONE FUNC user32.dll   CheckMenuItem
200 0x00664920 NONE FUNC user32.dll   CallWindowProcW
201 0x00664924 NONE FUNC user32.dll   CallWindowProcA
202 0x00664928 NONE FUNC user32.dll   CallNextHookEx
203 0x0066492c NONE FUNC user32.dll   BeginPaint
204 0x00664930 NONE FUNC user32.dll   BeginDeferWindowPos
205 0x0066426c NONE FUNC user32.dll   CharNextA
206 0x00664938 NONE FUNC user32.dll   CharLowerBuffA
207 0x0066493c NONE FUNC user32.dll   CharLowerA
208 0x00664940 NONE FUNC user32.dll   CharUpperBuffA
209 0x00664944 NONE FUNC user32.dll   CharToOemA
210 0x00664948 NONE FUNC user32.dll   AdjustWindowRectEx
211 0x0066494c NONE FUNC user32.dll   ActivateKeyboardLayout
1   0x006642f4 NONE FUNC kernel32.dll Sleep
1   0x0066495c NONE FUNC oleaut32.dll SafeArrayPtrOfIndex
2   0x00664960 NONE FUNC oleaut32.dll SafeArrayGetUBound
3   0x00664964 NONE FUNC oleaut32.dll SafeArrayGetLBound
4   0x00664968 NONE FUNC oleaut32.dll SafeArrayCreate
5   0x0066496c NONE FUNC oleaut32.dll VariantChangeType
6   0x00664970 NONE FUNC oleaut32.dll VariantCopy
7   0x00664974 NONE FUNC oleaut32.dll VariantClear
8   0x00664978 NONE FUNC oleaut32.dll VariantInit
1   0x00664980 NONE FUNC ole32.dll    CoTaskMemFree
2   0x00664984 NONE FUNC ole32.dll    CoTaskMemAlloc
3   0x00664988 NONE FUNC ole32.dll    ProgIDFromCLSID
4   0x0066498c NONE FUNC ole32.dll    StringFromCLSID
5   0x00664990 NONE FUNC ole32.dll    CoCreateInstance
6   0x00664994 NONE FUNC ole32.dll    CoUninitialize
7   0x00664998 NONE FUNC ole32.dll    CoInitialize
8   0x0066499c NONE FUNC ole32.dll    IsEqualGUID
1   0x006649a4 NONE FUNC oleaut32.dll GetErrorInfo
2   0x006649a8 NONE FUNC oleaut32.dll GetActiveObject
3   0x00664284 NONE FUNC oleaut32.dll SysFreeString
1   0x006649b4 NONE FUNC comctl32.dll ImageList_SetIconSize
2   0x006649b8 NONE FUNC comctl32.dll ImageList_GetIconSize
3   0x006649bc NONE FUNC comctl32.dll ImageList_Write
4   0x006649c0 NONE FUNC comctl32.dll ImageList_Read
5   0x006649c4 NONE FUNC comctl32.dll ImageList_GetDragImage
6   0x006649c8 NONE FUNC comctl32.dll ImageList_DragShowNolock
7   0x006649cc NONE FUNC comctl32.dll ImageList_SetDragCursorImage
8   0x006649d0 NONE FUNC comctl32.dll ImageList_DragMove
9   0x006649d4 NONE FUNC comctl32.dll ImageList_DragLeave
10  0x006649d8 NONE FUNC comctl32.dll ImageList_DragEnter
11  0x006649dc NONE FUNC comctl32.dll ImageList_EndDrag
12  0x006649e0 NONE FUNC comctl32.dll ImageList_BeginDrag
13  0x006649e4 NONE FUNC comctl32.dll ImageList_Remove
14  0x006649e8 NONE FUNC comctl32.dll ImageList_DrawEx
15  0x006649ec NONE FUNC comctl32.dll ImageList_Replace
16  0x006649f0 NONE FUNC comctl32.dll ImageList_Draw
17  0x006649f4 NONE FUNC comctl32.dll ImageList_GetBkColor
18  0x006649f8 NONE FUNC comctl32.dll ImageList_SetBkColor
19  0x006649fc NONE FUNC comctl32.dll ImageList_ReplaceIcon
20  0x00664a00 NONE FUNC comctl32.dll ImageList_Add
21  0x00664a04 NONE FUNC comctl32.dll ImageList_GetImageCount
22  0x00664a08 NONE FUNC comctl32.dll ImageList_Destroy
23  0x00664a0c NONE FUNC comctl32.dll ImageList_Create
24  0x00664a10 NONE FUNC comctl32.dll InitCommonControls
1   0x00664a18 NONE FUNC winspool.drv OpenPrinterA
2   0x00664a1c NONE FUNC winspool.drv EnumPrintersA
3   0x00664a20 NONE FUNC winspool.drv DocumentPropertiesA
4   0x00664a24 NONE FUNC winspool.drv ClosePrinter
1   0x00664a2c NONE FUNC shell32.dll  ShellExecuteA
1   0x00664a34 NONE FUNC shell32.dll  SHGetSpecialFolderLocation
2   0x00664a38 NONE FUNC shell32.dll  SHGetPathFromIDListA
1   0x00664a40 NONE FUNC comdlg32.dll ChooseColorA
2   0x00664a44 NONE FUNC comdlg32.dll GetSaveFileNameA
3   0x00664a48 NONE FUNC comdlg32.dll GetOpenFileNameA
1   0x00664344 NONE FUNC kernel32.dll MulDiv
